application_id,score,decision,timestamp_utc,model_version_at_score,source_run_id,dataset_hash_at_score
a001,0.3333333333333333,deny,2025-10-20T12:25:33.579389,current,run_e39f5fb0a0824ebbb81af53295bf286d,n/a
a002,0.3333333333333333,deny,2025-10-20T12:25:33.579389,current,run_e39f5fb0a0824ebbb81af53295bf286d,n/a
a003,0.3333333333333333,deny,2025-10-20T12:25:33.579389,current,run_e39f5fb0a0824ebbb81af53295bf286d,n/a
a004,0.3333333333333333,deny,2025-10-20T12:25:33.579389,current,run_e39f5fb0a0824ebbb81af53295bf286d,n/a
a005,0.3333333333333333,deny,2025-10-20T12:25:33.579389,current,run_e39f5fb0a0824ebbb81af53295bf286d,n/a
